Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.7283341795, 2.04707251483;"{""coordinates"": [[2.047072514828953, 48.72833417950791]], ""type"": ""MultiPoint""}";78406;77.447155;76.539374;80.195326;160.108994;173.466172;183.06;183.3;182.23568754;87.086629;76.93450262;686;686;76;71;44;85;71.5616371;74.55163268
48.9164062931, 1.96955762737;"{""coordinates"": [[1.969557627365642, 48.91640629310205]], ""type"": ""MultiPoint""}";78466;2979.863763;2959.357513;2960.479364;2870.008475;2705.200078;2652.45;2666.2;2690.42358232;2567.382651;2517.81833168;708;708;2614;2787;2380;1310;2511.23279958;2595.81382191
48.8125253589, 1.94681823488;"{""coordinates"": [[1.946818234881162, 48.81252535891847]], ""type"": ""MultiPoint""}";78490;15045.000349;15015.474832;14803.176089;14514.022558;14391.235703;14352.76;14309.85;14108.563746;13906.359359;13884.1897157;717;717;12610;12852;9040;5875;13602.4776279;13522.4853019
48.5263622889, 1.80498653503;"{""coordinates"": [[1.804986535030282, 48.52636228893427]], ""type"": ""MultiPoint""}";78506;157.928585;163.199069;175.562989;167.61411;184.130868;171.06;171.88;176.63592948;219.724574;223.65042824;724;724;192;150;188;130;228.22525887;214.66984017
48.8024903789, 1.76827814498;"{""coordinates"": [[1.768278144984138, 48.80249037890155]], ""type"": ""MultiPoint""}";78513;918.662413;958.152001;1022.591383;1075.304268;1053.770641;1017.02;1009.88;1002.43300827;963.933389;991.62140831;725;725;737;709;420;405;1040.38723753;1055.26065569
48.8063690538, 2.06552224617;"{""coordinates"": [[2.065522246165119, 48.80636905376539]], ""type"": ""MultiPoint""}";78545;3419.526606;3415.336253;3254.297433;3139.731722;3081.07912;3101.49;3209.91;3280.0427793;3337.041842;3309.2892494;736;736;3447;4268;4156;3740;3105.51253651;3011.65423449
48.6853813032, 1.97181647628;"{""coordinates"": [[1.971816476275073, 48.68538130320652]], ""type"": ""MultiPoint""}";78590;64.767894;66.233801;77.473412;77.550968;72.213232;69.85;58.79;56.42401605;60.690228;59.08499224;754;754;66;50;44;70;60.81385015;63.42999637
48.887912328, 1.68419858241;"{""coordinates"": [[1.68419858240917, 48.88791232795295]], ""type"": ""MultiPoint""}";78591;576.030433;557.760467;596.885221;587.977283;596.396234;564.65;586.57;562.04859283;564.888631;538.62127675;755;755;500;560;496;410;576.27927215;550.01896476
48.58808567, 1.86875085967;"{""coordinates"": [[1.868750859674287, 48.58808566999552]], ""type"": ""MultiPoint""}";78601;333.132358;313.917523;335.57764;343.08325;331.00947;322.39;314.65;293.05478607;283.637433;266.54965762;757;757;266;303;444;250;262.70359266;262.01530156
49.0096355922, 1.97401954777;"{""coordinates"": [[1.974019547770465, 49.0096355921688]], ""type"": ""MultiPoint""}";78638;460.524322;482.391768;492.288551;485.341055;549.597103;545.42;532.15;527.79400305;547.618419;578.16979651;769;769;419;510;336;400;577.17923178;597.415844
