Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
5;RER;NANTERRE-PREFECTURE;23598469;A;;;;;Nanterre;
193;Métro;SAINT-AUGUSTIN;2840829;9;;;;;Paris;8
19;RER;DENFERT-ROCHEREAU-RER;5391797;B;;;;;Paris;14
51;RER;LOGNES;1634461;A;;;;;Lognes;
242;Métro;MICHEL-ANGE-MOLITOR;2170808;9;10;;;;Paris;16
246;Métro;LA TOUR-MAUBOURG;2136370;8;;;;;Paris;7
235;Métro;BREGUET-SABIN;2273253;5;;;;;Paris;11
251;Métro;BUZENVAL;1994753;9;;;;;Paris;20
199;Métro;MARAICHERS;2778097;9;;;;;Paris;20
229;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2334437;7;;;;;Villejuif;
184;Métro;LAMARCK-CAULAINCOURT;2968479;12;;;;;Paris;18
180;Métro;PLACE MONGE;3001848;7;;;;;Paris;6
198;Métro;SAINT-MAUR;2783668;3;;;;;Paris;11
189;Métro;ROME;2882323;2;;;;;Paris;17
36;RER;NOISIEL;2782565;A;;;;;Noisiel;
118;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4139250;1;13;;;;Paris;8
88;Métro;PLAISANCE;4952901;13;;;;;Paris;14
160;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3331245;8;;;;;Maisons -Alfort;
37;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7292728;7;9;;;;Paris;9
38;Métro;PORTE DE VINCENNES;7246340;1;;;;;Paris;12
65;RER;PARC DE SCEAUX;576795;B;;;;;Antony;
