identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
530466;48.831735, 2.367073;Dimanche;27 Av. des Gobelins;75013;Paris;Le Tabarium
530490;48.773379, 2.486271;;5 rue d' Estienne d' Orves;94380;Bonneuil-sur-Marne;Café de la Mairie
530542;48.866625, 2.351731;Dimanche;22 rue de Turbigo;75002;Paris;Le velocivette
530544;48.831735, 2.367073;Dimanche;56 Av. des Gobelins;75013;Paris;Le Naja
540061;48.860773, 2.385278;Dimanche;17 Av. Parmentier;75011;Paris;Le Royal Parmentier
540297;48.873091, 2.344131;;4 Pl. de Clichy;75009;Paris;La Havane
540310;48.884769, 2.335947;Dimanche;18 rue du Poteau;75018;Paris;Le Reinitas
510245;48.873091, 2.344131;Dimanche;34 rue la Bruyère;75009;Paris;Tabac de Pigalle
510433;48.877055, 2.249204;Dimanche;23 rue de Villiers;92200;Neuilly-sur-Seine;Le Maryland
510516;48.897048, 2.241683;Dimanche;3 rue Baudin  C.Cial Charas;92400;Courbevoie;Havannah Stock
510560;48.827616, 2.242153;Samedi;23 Pl. Marcel Pagnol;92100;Boulogne-Billancourt;Du Point du Jour
510600;48.884769, 2.335947;;50 rue Marx Dormoy;75018;Paris;Tabac La Comète
510623;48.844596, 2.219476;Dimanche;1 Pl. Magenta;92210;Saint-Cloud;Le Magenta
510649;48.869491, 2.223011;Dimanche;97 rue de Verdun;92150;Suresnes;Le Mousquetaire
510653;48.894782, 2.322923;;24 Pl. Charles Fillion;75017;Paris;Tab'shop Batignolles
510663;48.908254, 2.251715;;4 Pl des champs Philippe;92250;La Garenne-Colombes;des Champs Philippe
520540;48.90645, 2.496487;Dimanche;116 Av. Jean Jaurès;93320;Les Pavillons-sous-Bois;Civette de Pavillons
530454;48.823588, 2.415928;Dimanche;3 Pl. des Marseillais CCAL;94220;Charenton-le-Pont;Civette de la coupol
530460;48.864056, 2.355819;Dimanche;59 rue de Turbigo;75003;Paris;Le Week End
530582;48.781734, 2.358716;Dimanche;77 rue Jean Jaures;94800;Villejuif;Le Rallye
540491;48.856246, 2.323946;Dimanche;53 Av. de Ségur;75007;Paris;Aux Ministères
540506;48.853806, 2.293985;Dimanche;252 rue de la Convention;75015;Paris;Le Diplomate
510570;48.827616, 2.242153;;27 Av. Jean Baptiste Clément;92100;Boulogne-Billancourt;Le Lutecia
510643;48.827616, 2.242153;;63 Bd de la République;92100;Boulogne-Billancourt;Tabac République
510660;48.90196, 2.299159;Dimanche;5 rue du Landy;92110;Clichy;Bar le Rallye
520056;48.88236, 2.620064;Dimanche;CCial Route de Montfermeil;77500;Chelles;Le Papyrus
520522;48.8491, 2.371086;;25 rue du Rendez-vous;75012;Paris;Tabac de la Poste
530186;48.831735, 2.367073;Lundi;82 Bd Masséna;75013;Paris;L'Arche 13
530192;48.831735, 2.367073;Dimanche;85 Bd. Auguste Blanqui;75013;Paris;Librairie Blanqui 13
530306;48.866625, 2.351731;;102 rue Montorgueil;75002;Paris;Le Havane
530534;48.693889, 2.34886;;193 Bd  Aristide Briand;91600;Savigny-sur-Orge;Le Bardy
530537;48.819501, 2.322161;Dimanche;127 bis Av. Verdier;92120;Montrouge;Le Verdon
540046;48.848197, 2.417737;Dimanche;7 Pl. Charles Digeon;94160;Saint-Mandé;Le Fontenoy St Mandé
540085;48.768228, 2.31095;Dimanche;71 Av. Aristide Briand;92160;Antony;Tabac - Presse
510290;48.86797, 2.27538;Dimanche;63 Av. de la Grande Armée;75016;Paris;Le Balto
510601;48.853806, 2.293985;;55-57 Av. de la Motte Picquet;75015;Paris;La Carotte Motte Piq
520309;48.88236, 2.620064;Mercredi;2 Av. du Mar. Foch;77500;Chelles;Tabac de la Gare
520423;48.852471, 2.404497;;108 Av.Gambetta;75020;Paris;Le Saint-Fargeau
520496;48.909659, 2.434088;;25 Av. Édouard Vaillant;93000;Bobigny;Le Bel Air
520558;48.860773, 2.385278;;17 rue Pétion;75011;Paris;Tabac Le Jean Bart
520580;48.880661, 2.377187;Mercredi;127 Av. Jean Jaures;75019;Paris;Tabac La Lorraine
530051;48.772566, 2.327217;Dimanche;17 rue Jean Jaurès;94240;L'Haÿ-les-Roses;Studio-Presse
530271;48.818497, 2.302658;;127 rue Paul Vaillant-Couturier;92240;Malakoff;Le Tom Tip
530320;48.823588, 2.415928;Dimanche;79 rue de Paris;94220;Charenton-le-Pont;Tabac des Ecoles
530524;48.856246, 2.323946;;20 Av. Bosquet;75007;Paris;Tabac Cave à Cigare
530591;48.693889, 2.34886;Dimanche;35 Bd. Aristide Briand;91600;Savigny-sur-Orge;Le Nemrod
540008;48.854294, 2.438276;;64 Bd Rouget de L'Isle;93100;Montreuil;Le Saint-Laurent
510330;48.86797, 2.27538;Dimanche;66 rue de la Pompe;75016;Paris;Tabac de la Mairie
510421;48.91352, 2.267197;;139 rue Victor Hugo;92270;Bois-Colombes;Le Maryland
510466;48.824202, 2.220115;;22 Av. de l'Europe;92310;Sèvres;L'Européen
510497;48.877615, 2.312373;;28 rue de la Pépinière;75008;Paris;Le Pot à Tabac
510546;48.90196, 2.299159;Dimanche;33 rue  Villeneuve;92110;Clichy;Le Celtique
510603;48.897048, 2.241683;;42 Bd de Verdun;92400;Courbevoie;Le Saint-Claude
520063;48.892324, 2.540729;Mercredi;2 rue Joannes;93220;Gagny;Tabac de L'Époque
520215;48.780426, 2.603817;Dimanche;2 Pl. Auribault;77340;Pontault-Combault;Tabac de la Gare
520303;48.935736, 2.426595;Dimanche;15 rue Étienne Dolet;93350;Le Bourget;Civette du Bourget
520424;48.8491, 2.371086;Lundi;101 rue Claude Decaen;75012;Paris;Le Saint-Claude
520448;48.909659, 2.434088;;7 rue de Paris;93000;Bobigny;La Source
520459;48.920796, 2.483518;Dimanche;CCial Parinor-le haut de Gally;93600;Aulnay-sous-Bois;Tabac Kas
520571;48.921914, 2.539255;Dimanche;4 Bd  de Chanzy;93190;Livry-Gargan;La Civette de Chanzy
