Réseau,Station,Trafic,Ville,Arrondissement pour Paris,Year,ArRGeopoint
Métro,hoche,5046958,Pantin,,2013,"48.891495749423726, 2.403114154894396"
Métro,hoche,5046958,Pantin,,2013,"48.815418110643805, 2.2908284021579033"
Métro,hoche,5046958,Pantin,,2013,"48.80528339134149, 2.017715658099434"
Métro,hoche,5046958,Pantin,,2013,"48.89174927258675, 2.405266122403488"
Métro,hoche,5046958,Pantin,,2013,"48.86473218966083, 2.438521525690123"
Métro,hoche,5046958,Pantin,,2013,"48.881467082536545, 2.512014585623699"
Métro,hoche,5046958,Pantin,,2013,"48.847317830775864, 2.4858576807299806"
Métro,hoche,5046958,Pantin,,2013,"48.89998624492448, 2.19975599873788"
Métro,hoche,5046958,Pantin,,2013,"48.81604973243433, 2.291173901129971"
Métro,hoche,5046958,Pantin,,2013,"48.805185923426166, 2.0178945079201815"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.91999948279093, 2.3438233303424236"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.919808549816324, 2.343443653352174"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.91973260803622, 2.343534674183465"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.91958882112646, 2.344374341491703"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.91958134680622, 2.3430098537353508"
Métro,carrefour pleyel,2829368,Saint Denis,,2013,"48.9194364210423, 2.3428206425135927"
Métro,nationale,2710907,Paris,13.0,2013,"48.8329448794165, 2.3623159269572263"
Métro,nationale,2710907,Paris,13.0,2013,"48.832900712696244, 2.3624663213666097"
Métro,nationale,2710907,Paris,13.0,2013,"48.83318160405331, 2.3628579580876203"
Métro,nationale,2710907,Paris,13.0,2013,"48.83323527966245, 2.362804171593507"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.93300237369269, 2.2150406700837615"
Métro,colonel fabien,4808282,Paris,10.0,2013,"49.155403138420546, 2.278209273630687"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.64736665472053, 2.327002779579231"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.77145044122255, 2.4847273069838263"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.95619332753102, 2.4448259176116016"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.75294308664547, 2.2875282852622765"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.79755764524905, 2.3430356124036753"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.78826174896446, 2.37564319544077"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.87769534579191, 2.3705761028196575"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.771369380566, 2.484700893476303"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.913284222708945, 2.505371821009642"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.7881979411737, 2.375480622062814"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.77052350310876, 2.484600391308984"
Métro,colonel fabien,4808282,Paris,10.0,2013,"49.1557673495657, 2.278971853492244"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.78867708392607, 2.37595129059215"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.80019331914315, 2.3382236959309917"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.87764980850785, 2.3704675747938637"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.913144056049894, 2.50627365234735"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.87801317307022, 2.371158561990637"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.93349054078098, 2.2154291446232905"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.878245408561106, 2.3708557889935795"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.77047065597957, 2.484859439561193"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.956050401043235, 2.4450322723926625"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.797235080861135, 2.343257495767093"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.80004284342904, 2.3386612707276275"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.78849728555457, 2.3759670526021917"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.878266218947175, 2.36968293131287"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.647162156639084, 2.3274262283922775"
Métro,colonel fabien,4808282,Paris,10.0,2013,"48.81202953740486, 2.2806475426763497"
Métro,courcelles,2650620,Paris,17.0,2013,"48.87913210921798, 2.3035961197663153"
Métro,courcelles,2650620,Paris,17.0,2013,"48.8789616449004, 2.3036665753678487"
Métro,courcelles,2650620,Paris,17.0,2013,"48.879265254099494, 2.303294362425212"
Métro,courcelles,2650620,Paris,17.0,2013,"48.984595150834764, 3.1995534809069626"
Métro,courcelles,2650620,Paris,17.0,2013,"48.98473016895261, 3.1994720243658916"
Métro,courcelles,2650620,Paris,17.0,2013,"48.87918090668666, 2.302709173162824"
Métro,courcelles,2650620,Paris,17.0,2013,"48.879265254099494, 2.303294362425212"
Métro,courcelles,2650620,Paris,17.0,2013,"48.87940596176713, 2.302747065959547"
Métro,plaisance,4794268,Paris,14.0,2013,"48.83148792258198, 2.313577864775831"
Métro,plaisance,4794268,Paris,14.0,2013,"48.90574049651549, 2.2524225971979424"
Métro,plaisance,4794268,Paris,14.0,2013,"48.83174121368737, 2.313833364032832"
Métro,plaisance,4794268,Paris,14.0,2013,"48.83175036305376, 2.3138604893443055"
Métro,plaisance,4794268,Paris,14.0,2013,"48.90576647745102, 2.2537046037102657"
Métro,ecole militaire,4443503,Paris,7.0,2013,"48.79946357689206, 2.0693577428679326"
Métro,ecole militaire,4443503,Paris,7.0,2013,"48.79957202335775, 2.0694238825240596"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.854391804791426, 2.4891541357040246"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.85416593129471, 2.4889110371019245"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.85440108871609, 2.489222187503381"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.85438240444725, 2.489058827952213"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.85409532884929, 2.489226002446715"
RER,val de fontenay,11863754,Fontenay-sous-Bois,,2013,"48.854373120429536, 2.4889907762063643"
