JOUR,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET,LIBELLE_ARRET,ID_REFA_LDA,CATEGORIE_TITRE,NB_VALD,date
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,AMETHYSTE,136,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,AUTRE TITRE,570,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,FGT,84,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,IMAGINE R,791,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,NAVIGO,2144,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,NAVIGO JOUR,6,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,NON DEFINI,154,2022
20/12/2022,100,110,573,MOUTON-DUVERN.,73653,TST,167,2022
20/12/2022,100,110,583,NATION,71673,?,244,2022
20/12/2022,100,110,583,NATION,71673,AMETHYSTE,737,2022
20/12/2022,100,110,583,NATION,71673,AUTRE TITRE,2352,2022
20/12/2022,100,110,583,NATION,71673,FGT,468,2022
20/12/2022,100,110,583,NATION,71673,IMAGINE R,3001,2022
20/12/2022,100,110,583,NATION,71673,NAVIGO,10052,2022
20/12/2022,100,110,583,NATION,71673,NAVIGO JOUR,31,2022
20/12/2022,100,110,583,NATION,71673,NON DEFINI,864,2022
20/12/2022,100,110,583,NATION,71673,TST,664,2022
20/12/2022,100,110,587,NATIONALE,71043,?,132,2022
20/12/2022,100,110,587,NATIONALE,71043,AMETHYSTE,394,2022
20/12/2022,100,110,587,NATIONALE,71043,AUTRE TITRE,577,2022
20/12/2022,100,110,587,NATIONALE,71043,FGT,180,2022
20/12/2022,100,110,587,NATIONALE,71043,IMAGINE R,969,2022
20/12/2022,100,110,587,NATIONALE,71043,NAVIGO,3395,2022
20/12/2022,100,110,587,NATIONALE,71043,NAVIGO JOUR,10,2022
20/12/2022,100,110,587,NATIONALE,71043,NON DEFINI,209,2022
20/12/2022,100,110,587,NATIONALE,71043,TST,328,2022
20/12/2022,100,110,59,BEL AIR,73650,?,91,2022
20/12/2022,100,110,59,BEL AIR,73650,AMETHYSTE,156,2022
20/12/2022,100,110,59,BEL AIR,73650,AUTRE TITRE,626,2022
20/12/2022,100,110,59,BEL AIR,73650,FGT,152,2022
20/12/2022,100,110,59,BEL AIR,73650,IMAGINE R,971,2022
20/12/2022,100,110,59,BEL AIR,73650,NAVIGO,3455,2022
20/12/2022,100,110,59,BEL AIR,73650,NAVIGO JOUR,12,2022
20/12/2022,100,110,59,BEL AIR,73650,NON DEFINI,282,2022
20/12/2022,100,110,59,BEL AIR,73650,TST,230,2022
20/12/2022,100,110,60,BELLEVILLE,71853,?,1093,2022
20/12/2022,100,110,60,BELLEVILLE,71853,AMETHYSTE,2055,2022
20/12/2022,100,110,60,BELLEVILLE,71853,AUTRE TITRE,2398,2022
20/12/2022,100,110,60,BELLEVILLE,71853,FGT,1232,2022
20/12/2022,100,110,60,BELLEVILLE,71853,IMAGINE R,3435,2022
20/12/2022,100,110,60,BELLEVILLE,71853,NAVIGO,11296,2022
20/12/2022,100,110,60,BELLEVILLE,71853,NAVIGO JOUR,41,2022
20/12/2022,100,110,60,BELLEVILLE,71853,NON DEFINI,677,2022
20/12/2022,100,110,60,BELLEVILLE,71853,TST,2964,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,?,68,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,AMETHYSTE,132,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,AUTRE TITRE,1113,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,FGT,102,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,IMAGINE R,1306,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,NAVIGO,4378,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,NAVIGO JOUR,33,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,NON DEFINI,328,2022
20/12/2022,100,110,600,N.D.DE-LORETTE,71350,TST,259,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,?,14,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,AMETHYSTE,58,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,AUTRE TITRE,675,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,FGT,49,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,IMAGINE R,829,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,NAVIGO,1520,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,NAVIGO JOUR,10,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,NON DEFINI,142,2022
20/12/2022,100,110,601,N.D.DES-CHAMPS,71138,TST,66,2022
20/12/2022,100,110,602,OBERKAMPF,71803,?,168,2022
20/12/2022,100,110,602,OBERKAMPF,71803,AMETHYSTE,305,2022
20/12/2022,100,110,602,OBERKAMPF,71803,AUTRE TITRE,1528,2022
20/12/2022,100,110,602,OBERKAMPF,71803,FGT,268,2022
20/12/2022,100,110,602,OBERKAMPF,71803,IMAGINE R,2033,2022
20/12/2022,100,110,602,OBERKAMPF,71803,NAVIGO,6591,2022
20/12/2022,100,110,602,OBERKAMPF,71803,NAVIGO JOUR,54,2022
20/12/2022,100,110,602,OBERKAMPF,71803,NON DEFINI,462,2022
20/12/2022,100,110,602,OBERKAMPF,71803,TST,528,2022
20/12/2022,100,110,604,ODEON,73618,?,130,2022
20/12/2022,100,110,604,ODEON,73618,AMETHYSTE,274,2022
20/12/2022,100,110,604,ODEON,73618,AUTRE TITRE,2029,2022
20/12/2022,100,110,604,ODEON,73618,FGT,212,2022
20/12/2022,100,110,604,ODEON,73618,IMAGINE R,2609,2022
20/12/2022,100,110,604,ODEON,73618,NAVIGO,6406,2022
20/12/2022,100,110,604,ODEON,73618,NAVIGO JOUR,75,2022
20/12/2022,100,110,604,ODEON,73618,NON DEFINI,478,2022
20/12/2022,100,110,604,ODEON,73618,TST,461,2022
20/12/2022,100,110,606,OPERA,71337,?,173,2022
20/12/2022,100,110,606,OPERA,71337,AMETHYSTE,474,2022
20/12/2022,100,110,606,OPERA,71337,AUTRE TITRE,3729,2022
20/12/2022,100,110,606,OPERA,71337,FGT,436,2022
20/12/2022,100,110,606,OPERA,71337,IMAGINE R,5690,2022
20/12/2022,100,110,606,OPERA,71337,NAVIGO,13839,2022
20/12/2022,100,110,606,OPERA,71337,NAVIGO JOUR,211,2022
20/12/2022,100,110,606,OPERA,71337,NON DEFINI,880,2022
20/12/2022,100,110,606,OPERA,71337,TST,759,2022
20/12/2022,100,110,614,OURCQ,71972,?,233,2022
20/12/2022,100,110,614,OURCQ,71972,AMETHYSTE,436,2022
20/12/2022,100,110,614,OURCQ,71972,AUTRE TITRE,923,2022
