Département;Département commune;Libellé de commune;Arrondissement;Canton ville;Zone d'emploi;Unité urbaine;Population 2010;Taxi;Aéroport;Aéroport nombre de passagers;Gare avec train TAGV (train à grande vitesse);Gare sous convention avec l’État;Gare sous convention avec les conseils régionaux ou les STIF;Agence de voyage;Hôtel homologué;Hôtel homologué - nombre de chambres;Camping homologué;Camping homologué - nombre d'emplacements;Information Touristique;geo_point_2d;geo_shape
77;77427;['Saint-Mesmes'];771;7737;56;77000;561;3;0;0;0;0;0;0;0;0;0;0;0;48.98561280690972, 2.714764945726792;"{""coordinates"": [[[2.7473385680288382, 48.99060973630512], [2.738765519827944, 48.975430508699645], [2.733818506632174, 48.975833277533084], [2.693303755833087, 48.98022367421349], [2.678752758173623, 48.976067127106276], [2.6738271242707, 48.97733074002251], [2.674208663273638, 48.98402201734724], [2.691722603232899, 48.986532165374435], [2.705811763601767, 48.99573054651408], [2.725005128062582, 48.99697201527047], [2.7473385680288382, 48.99060973630512]]], ""type"": ""Polygon""}"
77;77453;['Sivry-Courtry'];772;7705;1105;77000;1016;1;0;0;0;0;0;0;0;0;0;0;0;48.530887523995005, 2.7561500707125983;"{""coordinates"": [[[2.7612792257468133, 48.501988957732685], [2.744042614256283, 48.502861668038676], [2.744283638739842, 48.50618168573826], [2.73001497225448, 48.508758939162185], [2.73286595128934, 48.51518844251906], [2.721164982980768, 48.52579463424378], [2.711833208039515, 48.528381156558254], [2.713151244788647, 48.53502320743213], [2.720788515161964, 48.53800097683793], [2.720962121436534, 48.543560715398215], [2.728288538901328, 48.54671716174246], [2.7659342372410602, 48.553948711673755], [2.790784965322905, 48.54724832985605], [2.800326044448944, 48.53935756800853], [2.801963302176831, 48.53267651013495], [2.790420819398883, 48.52988604039196], [2.791499487503803, 48.524292577555926], [2.781879600544198, 48.5221613055799], [2.779428329588407, 48.51576075658164], [2.774762740744392, 48.51440262950486], [2.760635965813055, 48.51540054463827], [2.7612792257468133, 48.501988957732685]]], ""type"": ""Polygon""}"
78;78118;['Buchelay'];781;7833;1110;851;2346;12;0;0;0;0;0;0;0;0;0;0;0;48.98370195523212, 1.674369090025872;"{""coordinates"": [[[1.663794537455568, 48.969647733077835], [1.654335039261231, 48.98203397494992], [1.6640477045089481, 48.99487719717149], [1.702551852028804, 48.98923824469279], [1.686219936897183, 48.97849326635936], [1.665963893296819, 48.97028344608833], [1.663794537455568, 48.969647733077835]]], ""type"": ""Polygon""}"
78;78194;['Dannemarie'];781;7808;1109;78000;242;0;0;0;0;0;0;0;0;0;0;0;0;48.763970743494355, 1.608969657215297;"{""coordinates"": [[[1.624960005496308, 48.74903124496883], [1.60522642722514, 48.76058635014334], [1.5849072822625452, 48.763297799418446], [1.60685907399733, 48.77486298549531], [1.6149590632453301, 48.77221362297344], [1.6214766573023591, 48.764526088457266], [1.624960005496308, 48.74903124496883]]], ""type"": ""Polygon""}"
78;78334;['Lévis-Saint-Nom'];782;7805;1116;78204;1705;0;0;0;0;0;0;0;0;0;0;0;0;48.726607468464394, 1.9354424661738001;"{""coordinates"": [[[1.94192497986669, 48.70933655247968], [1.937580262825235, 48.711114967483724], [1.9375250169962692, 48.717842844431], [1.903472093402418, 48.722383164342304], [1.906655067175227, 48.73529332745172], [1.916481816924237, 48.73356593700513], [1.9324152932999041, 48.74171503714845], [1.947876824180309, 48.7337028774684], [1.961916095679212, 48.734761275946546], [1.963558245694853, 48.72533081060298], [1.959904243845935, 48.719704100289846], [1.94192497986669, 48.70933655247968]]], ""type"": ""Polygon""}"
78;78418;['Montesson'];783;7830;1101;851;15193;13;0;0;0;0;0;4;1;55;0;0;1;48.917226393725066, 2.13992679129981;"{""coordinates"": [[[2.120242856348, 48.90320578350386], [2.113204845795602, 48.90633753807078], [2.1238336924741, 48.92247777268599], [2.142430773286288, 48.93512178653146], [2.160838791629611, 48.920269529514734], [2.161350443110867, 48.90799733182186], [2.142580713398806, 48.904491946945505], [2.133703441910071, 48.91164071985621], [2.1259521724857082, 48.907663324128045], [2.120242856348, 48.90320578350386]]], ""type"": ""Polygon""}"
78;78672;['Villennes-sur-Seine'];783;7816;1111;851;5085;3;0;0;0;0;1;0;1;77;1;3;0;48.93681952233977, 1.9958652749119152;"{""coordinates"": [[[2.008618146602788, 48.92069850338689], [1.998111832191765, 48.9284083660705], [1.982363840711383, 48.92896815370751], [1.978490145172676, 48.945518838817655], [1.980861351913457, 48.948533762228976], [1.99599759759039, 48.94885034182493], [2.00252117237398, 48.953994919806156], [2.00356966027465, 48.941323260653284], [2.008405582969258, 48.934717353626134], [2.016906453423189, 48.924058369966694], [2.008618146602788, 48.92069850338689]]], ""type"": ""Polygon""}"
91;91247;['La Forêt-le-Roi'];911;9107;1116;91000;481;0;0;0;0;0;0;0;0;0;0;0;1;48.47551833282412, 2.046851528398435;"{""coordinates"": [[[2.070364849228193, 48.464071657399465], [2.034182880095194, 48.46452057415383], [2.026102216584406, 48.46840417563001], [2.017785106698453, 48.48124605895455], [2.046706708386201, 48.48705067177692], [2.06154574081484, 48.49201802028521], [2.062219417179544, 48.4823429541764], [2.071219562612353, 48.47387581553628], [2.070364849228193, 48.464071657399465]]], ""type"": ""Polygon""}"
91;91376;['Marolles-en-Hurepoix'];913;9104;1115;91203;4812;3;0;0;0;0;1;0;0;0;0;0;1;48.564979861762076, 2.299206571711328;"{""coordinates"": [[[2.317022752922143, 48.552919794214965], [2.306624643560822, 48.547147230402196], [2.29954723827506, 48.551567730509824], [2.282745353910117, 48.55947393239594], [2.28164512415866, 48.57251122478778], [2.290435266292618, 48.58106493191001], [2.313281782316677, 48.57575656826309], [2.312614467622999, 48.56255593463806], [2.317022752922143, 48.552919794214965]]], ""type"": ""Polygon""}"
91;91538;['Saint-Aubin'];913;9103;1116;851;690;0;0;0;0;0;0;0;1;29;0;0;1;48.714962666614525, 2.139531545295898;"{""coordinates"": [[[2.155101500254648, 48.71806161892654], [2.152152846292152, 48.7079394754237], [2.142027347229837, 48.706301971705415], [2.127386015320759, 48.70982073351298], [2.123300411404308, 48.715979271458316], [2.126616073810309, 48.72173330453653], [2.143858238978393, 48.72312651480234], [2.155101500254648, 48.71806161892654]]], ""type"": ""Polygon""}"
94;94015;['Bry-sur-Marne'];942;9404;1102;851;15625;18;0;0;0;0;0;2;1;47;0;0;1;48.83840956612506, 2.523196576257715;"{""coordinates"": [[[2.525040142393285, 48.82725335459993], [2.504679851760673, 48.82972494684112], [2.514734807466692, 48.830989295308854], [2.516994873459801, 48.8340652516781], [2.511701114233563, 48.84363984772178], [2.513670428919681, 48.8501681266457], [2.515648757769381, 48.85138127056583], [2.537155233528009, 48.84196032721488], [2.53665448757524, 48.83851387979082], [2.532257759855078, 48.830483519549375], [2.525040142393285, 48.82725335459993]]], ""type"": ""Polygon""}"
95;95483;['Le Perchay'];953;9527;1119;95000;548;0;0;0;0;0;0;0;0;0;0;0;0;49.11640533015712, 1.9273908709243741;"{""coordinates"": [[[1.950436706543539, 49.11917410407207], [1.93062051239698, 49.10160027304419], [1.926119211957405, 49.1027201225269], [1.9136728577480802, 49.10784164959426], [1.9146362052000092, 49.11416266520232], [1.9087166021578381, 49.11946825425386], [1.907896979881517, 49.12260795563765], [1.914894445054168, 49.12669060317682], [1.9311025994444142, 49.12936237074075], [1.9409603131707862, 49.1216896738613], [1.950436706543539, 49.11917410407207]]], ""type"": ""Polygon""}"
75;75118;['Paris 18e Arrondissement'];751;7599;1101;851;202685;196;0;0;0;0;0;74;54;3579;0;0;59;48.892735074561706, 2.348711933867703;"{""coordinates"": [[[2.327115254528243, 48.883484486689106], [2.329983250052526, 48.90116329738005], [2.351872524767704, 48.901526565807224], [2.365839954946483, 48.901610328262414], [2.370286443740823, 48.901651775250755], [2.3712731072200492, 48.89563154752747], [2.364673564731968, 48.884292229428034], [2.349545307310846, 48.88362643315055], [2.327115254528243, 48.883484486689106]]], ""type"": ""Polygon""}"
77;77168;['Égreville'];774;7716;1107;77000;2200;0;0;0;0;0;0;1;0;0;0;0;0;48.182128523801715, 2.884371182710231;"{""coordinates"": [[[2.866823482562962, 48.15603626977496], [2.861700356240805, 48.15580542208352], [2.8480215349514113, 48.16590254669068], [2.837758359050751, 48.166014859928396], [2.8487127344713183, 48.19695569550289], [2.86330949448821, 48.21477132168953], [2.877198538742352, 48.211070464004784], [2.89089486719688, 48.2149979683055], [2.89997847472343, 48.20290387685609], [2.909737745568465, 48.20247084027922], [2.911908209794098, 48.19235879762087], [2.934748604883821, 48.17882262621193], [2.936314411640624, 48.163391744147795], [2.90004732548373, 48.15943440684473], [2.8709913308671022, 48.156472813083134], [2.866823482562962, 48.15603626977496]]], ""type"": ""Polygon""}"
