Code INSEE;Commune;Population municipale;Année
95055;Bellefontaine;450;2013
95074;Boisemont;773;2013
95203;Eaubonne;24606;2013
95210;Enghien-les-Bains;11332;2013
95250;Fosses;9591;2013
95379;Maudétour-en-Vexin;201;2013
95509;Puiseux-en-France;3305;2013
95555;Saint-Gratien;20933;2013
75104;Paris 4e  Arrondissement;26796;2014
75106;Paris 6e  Arrondissement;43134;2014
77001;Achères-la-Forêt;1177;2014
77023;Barcy;282;2014
77037;Bois-le-Roi;5605;2014
77075;Chalifert;1278;2014
77116;Choisy-en-Brie;1395;2014
77159;Donnemarie-Dontilly;2923;2014
77288;Melun;40011;2014
77295;Moisenay;1333;2014
77325;Mouy-sur-Seine;362;2014
77338;Noisy-Rudignon;620;2014
77426;Saint-Méry;373;2014
77461;Thénisy;288;2014
77507;Villenauxe-la-Petite;480;2014
77528;Voisenon;1104;2014
78036;Autouillet;470;2014
78206;Ecquevilly;4076;2014
78410;Moisson;939;2014
78601;Sonchamp;1624;2014
78246;Fontenay-Saint-Père;988;2011
78410;Moisson;927;2011
78415;Montainville;549;2011
78481;Le Pecq;16675;2011
78516;Raizeux;864;2011
78561;Saint-Lambert;436;2011
78605;Tacoignières;1058;2011
91035;Authon-la-Plaine;365;2011
91191;Crosne;9190;2011
91249;Forges-les-Bains;3748;2011
91374;Marolles-en-Beauce;212;2011
91411;Les Molières;1971;2011
91544;Saint-Cyr-la-Rivière;505;2011
92026;Courbevoie;88530;2011
92077;Ville-d'Avray;10733;2011
94022;Choisy-le-Roi;41355;2011
95014;Andilly;2520;2011
95042;Baillet-en-France;2001;2011
95078;Boissy-l'Aillerie;1769;2011
95170;Condécourt;557;2011
95210;Enghien-les-Bains;11560;2011
95250;Fosses;9574;2011
95258;Frouville;364;2011
95277;Gonesse;26516;2011
95369;Margency;2872;2011
95370;Marines;3313;2011
95456;Noisy-sur-Oise;688;2011
95584;Santeuil;623;2011
95627;Vallangoujard;634;2011
75109;Paris 9ème arrondissement;60139;2010
75117;Paris 17ème arrondissement;169325;2010
77023;Barcy;236;2010
77035;Blennes;562;2010
77098;Châteaubleau;330;2010
77103;Châtillon-la-Borde;218;2010
77119;Clos-Fontaine;257;2010
77188;Fontaine-le-Port;938;2010
77190;Fontains;263;2010
77191;Fontenailles;1060;2010
77201;Gastins;667;2010
77211;Grandpuits-Bailly-Carrois;992;2010
77286;Meigneux;229;2010
77319;Mortery;177;2010
77329;Nanteau-sur-Lunain;671;2010
77356;Passy-sur-Seine;44;2010
77369;Poincy;709;2010
77405;Saint-Cyr-sur-Morin;1902;2010
77409;Saint-Germain-Laval;2773;2010
77459;Sourdun;1430;2010
77476;Trocy-en-Multien;274;2010
77484;Vaucourtois;209;2010
77486;Vaudoy-en-Brie;837;2010
77508;Villeneuve-le-Comte;1778;2010
77511;Villeneuve-sous-Dammartin;625;2010
78003;Ablis;3287;2010
78084;Boissy-sans-Avoir;586;2010
78168;Coignières;4527;2010
78297;Guyancourt;27966;2010
78343;Les Loges-en-Josas;1548;2010
78451;Nézel;1042;2010
78506;Prunay-en-Yvelines;813;2010
78586;Sartrouville;51150;2010
78588;Saulx-Marchais;895;2010
91037;Auvernaux;338;2010
91093;Boullay-les-Troux;649;2010
91109;Brières-les-Scellés;1026;2010
91223;Étampes;23158;2010
91235;Fleury-Mérogis;9121;2010
91274;Gometz-la-Ville;1374;2010
91507;Prunay-sur-Essonne;310;2010
91573;Saint-Pierre-du-Perray;8350;2010
91619;Torfou;272;2010
91648;Vert-le-Grand;2410;2010
92014;Bourg-la-Reine;19985;2010
93071;Sevran;49832;2010
94033;Fontenay-sous-Bois;53145;2010
95102;Bréançon;371;2010
95331;Lassy;187;2010
95430;Montsoult;3396;2010
95476;Osny;16236;2010
95656;Vienne-en-Arthies;417;2010
91027;Athis-Mons;30644;2009
91093;Boullay-les-Troux;657;2009
91182;Courcouronnes;14029;2009
91240;Fontaine-la-Rivière;206;2009
91581;Saint-Yon;904;2009
91593;Sermaise;1663;2009
91691;Yerres;28909;2009
93033;Gournay-sur-Marne;6387;2009
94047;Mandres-les-Roses;4378;2009
94052;Nogent-sur-Marne;30956;2009
95157;Chérence;147;2009
95177;Cormeilles-en-Vexin;1068;2009
95323;Jouy-le-Moutier;16656;2009
95331;Lassy;186;2009
95370;Marines;3211;2009
95447;Neuilly-en-Vexin;202;2009
95487;Persan;10424;2009
95598;Soisy-sous-Montmorency;17222;2009
77052;Bréau;346;2011
77058;Bussy-Saint-Georges;25135;2011
77084;Changis-sur-Marne;1084;2011
77100;Le Châtelet-en-Brie;4413;2011
77157;Dhuisy;281;2011
77214;Gressy;902;2011
77234;Jablines;650;2011
77276;Mareuil-lès-Meaux;2241;2011
77294;Mitry-Mory;18828;2011
77311;Montigny-Lencoup;1283;2011
77338;Noisy-Rudignon;599;2011
77364;Le Plessis-aux-Bois;236;2011
77367;Le Plessis-Placy;272;2011
77452;Sigy;47;2011
77470;Tournan-en-Brie;8174;2011
77498;Vignely;260;2011
77501;Villecerf;704;2011
78084;Boissy-sans-Avoir;578;2011
75103;PARIS TROISIEME ARRONDISSEMENT;56252;1968
77021;BARBEY;109;1968
77038;BOISSETTES;265;1968
77081;CHAMPDEUIL;310;1968
77099;CHATEAU LANDON;2644;1968
77142;CRECY EN BRIE;1008;1968
77143;CREGY LES MEAUX;793;1968
77153;DAMMARTIN EN GOELE;2049;1968
77165;LES ECRENNES;222;1968
77172;ESMANS;534;1968
77176;FAREMOUTIERS;1088;1968
77253;LISSY;124;1968
77268;MAGNY LE HONGRE;121;1968
77302;MONTCOURT FROMONVILLE;500;1968
77368;POIGNY;405;1968
77372;POMPONNE;1304;1968
77386;RECLOSES;474;1968
77404;SAINTE COLOMBE;1178;1968
77440;SAMMERON;372;1968
77494;VERNOU SUR SEINE;706;1968
77497;VIEUX MAISONS;86;1968
77526;VINCY MANOEUVRE;145;1968
78140;CHAPET;567;1968
78202;DROCOURT;231;1968
78382;MAURECOURT;2380;1968
78397;LE MESNIL SAINT DENIS;4061;1968
78417;MONTCHAUVET;193;1968
91184;COURDIMANCHE SUR ESSONNE;98;1968
91315;ITTEVILLE;2070;1968
91318;JANVILLE SUR JUINE;894;1968
91378;MAUCHAMPS;113;1968
91508;PUISELET LE MARAIS;109;1968
91579;SAINT VRAIN;1473;1968
91665;LA VILLE DU BOIS;2594;1968
92004;ASNIERES SUR SEINE;80113;1968
92050;NANTERRE;90332;1968
93078;VILLEPINTE;12103;1968
94028;CRETEIL;49197;1968
94044;LIMEIL BREVANNES;11456;1968
94060;LA QUEUE EN BRIE;3009;1968
95088;BONNEUIL EN FRANCE;597;1968
95120;BUTRY SUR OISE;883;1968
95323;JOUY LE MOUTIER;1107;1968
95539;SAINT BRICE SOUS FORET;4804;1968
78516;RAIZEUX;314;1968
78518;RENNEMOULIN;101;1968
78522;ROCHEFORT EN YVELINES;441;1968
78530;ROSAY;255;1968
78674;VILLEPREUX;6926;1968
78460;Oinville-sur-Montcient;1131;2008
78503;Port-Villez;233;2008
78520;Richebourg;1474;2008
78545;Saint-Cyr-l'École;17590;2008
78550;Saint-Germain-de-la-Grange;1827;2008
78643;Vernouillet;9370;2008
78683;Villiers-Saint-Fréderic;2719;2008
91132;Chamarande;1085;2008
91136;Champlan;2479;2008
91294;Guillerval;745;2008
91374;Marolles-en-Beauce;220;2008
91556;Saint-Hilaire;354;2008
91581;Saint-Yon;895;2008
