identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR_FERMETURE;DEA_NUMERO_RUE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON
510079;Le Tabalire;Dimanche;103 Av. Paul Doumer;92500;Rueil-Malmaison
520149;Villa Picta;Dimanche;4 Av. du parc de la Noue;93420;Villepinte
510427;La Tabatière;;156 Av. Jean Jaurès;95100;Argenteuil
520557;Le Narval;;93 R. d'Avron;75020;Paris
510178;Le Pavé des Gardes;Lundi;38 Route du Pavé des Gardes;92310;Sèvres
520164;Le Bloch Lainé;Dimanche;3 Pl. Bloch Lainé;95200;Sarcelles
510433;Le Maryland;Dimanche;23 R. de Villiers;92200;Neuilly-sur-Seine
520573;Royale Civette;Dimanche;164 R. de la Roquette;75011;Paris
510237;La Belle Colombes;Lundi;125 Av. de Stalingrad;92700;Colombes
520189;Le Résident;Dimanche;51 Bd  Soult;75012;Paris
510445;Le Cygne d'Enghien;Lundi;132 Av. Joffre;93800;Épinay-sur-Seine
520585;Lib. du Val de Marne;;70 R. du 11 Novembre;93330;Neuilly-sur-Marne
510239;Le Bistrot de Paris;;32 R. de Paris;93800;Épinay-sur-Seine
520233;Le Capitole;Dimanche;269 R. des Pyrénées;75020;Paris
510456;Civette Saint-Claude;Dimanche;4 Pl. du général Leclerc;92150;Suresnes
520595;Le Brelan;Dimanche;58 R. Beaubourg;75003;Paris
510243;Le Richelieu;;53 R. Haute;92500;Rueil-Malmaison
520245;La Consigne;;10 R. du 8 Mai 1945;75010;Paris
510457;Le Narval;Dimanche;120 R. Anatole France;92300;Levallois-Perret
520600;Le Vaillant;;130 Av. Paul Vaillant Couturier;93120;La Courneuve
510244;Au Départ;;251 Av. Jean Jaurès;92140;Clamart
520253;Tabac de La Gare;Dimanche;12 Pl. de la Gare;94350;Villiers-sur-Marne
510472;Le Balto;Lundi;1 R. de Stalingrad;92000;Nanterre
520617;Tabac Soult;;76 Bd  Soult;75012;Paris
510265;Aux Champarons;;44 Av. de Stalingrad;92700;Colombes
520272;Le Terminus;;10 R. de la Gare;93270;Sevran
510473;La Royale;Dimanche;91 R. Perronet;92200;Neuilly-sur-Seine
520618;Le Narval;;235 R. des Pyrénées;75020;Paris
510267;L'Energie;Dimanche;65 R. de Maubeuge;75009;Paris
520337;Le Métropole;Dimanche;32 R. de la République;93200;Saint-Denis
