stop_point_id;accessibility_level_id;accessibility_level_name;commentaire;stop_name;stop_point_geopoint
stop_point:IDFM:monomodalStopPlace:43127;3;train accessible sur réservation préalable auprès du service AssistenGare;;Le Chénay Gagny;48.877159125382796, 2.5527724908646303
stop_point:IDFM:monomodalStopPlace:43234;4;train accessible sur demande auprès d'un agent en station;;Le Parc de Saint-Maur;48.8054097518155, 2.486623744135692
stop_point:IDFM:monomodalStopPlace:422065;3;train accessible sur réservation préalable auprès du service AssistenGare;;Le Val d'Or;48.85625374079433, 2.2165513289937904
stop_point:IDFM:monomodalStopPlace:464040;1;gare ou arrêt non accessible;;Le Vert de Maisons;48.78883131123265, 2.4321242678299977
stop_point:IDFM:monomodalStopPlace:53784;4;train accessible sur demande auprès d'un agent en station;;Le Vésinet - Centre;48.89013759185911, 2.1343339900216813
stop_point:IDFM:monomodalStopPlace:47881;1;gare ou arrêt non accessible;;Les Mureaux;48.99259097971094, 1.9134674211236111
stop_point:IDFM:monomodalStopPlace:45804;1;gare ou arrêt non accessible;;Livry-sur-Seine;48.510288065207455, 2.6789439431211646
stop_point:IDFM:monomodalStopPlace:47486;1;gare ou arrêt non accessible;;Lizy-sur-Ourcq;49.02172710081919, 3.0317831029512066
stop_point:IDFM:monomodalStopPlace:473506;3;train accessible sur réservation préalable auprès du service AssistenGare;;Louveciennes;48.8612602848357, 2.1227777344789676
stop_point:IDFM:monomodalStopPlace:43156;1;gare ou arrêt non accessible;;Maisse;48.39367132989446, 2.393493661032251
stop_point:IDFM:monomodalStopPlace:411485;1;gare ou arrêt non accessible;;Malesherbes;48.293633291470464, 2.4010364417288774
stop_point:IDFM:monomodalStopPlace:46884;1;gare ou arrêt non accessible;;Mareil-sur-Mauldre;48.89302020567544, 1.8718488171877579
stop_point:IDFM:monomodalStopPlace:58774;4;train accessible sur demande auprès d'un agent en station;;Massy - Palaiseau;48.72551907437078, 2.2587677282577334
stop_point:IDFM:monomodalStopPlace:47909;1;gare ou arrêt non accessible;;Melun;48.527491277248295, 2.65469836071817
