NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 75116008;LONGCHAMP;48.854833;2.233667;27;20230707;;;;;;;650;1;2350;1;;;;;;;;;;;69;1;34;1;1705;9;95;1;446;9;60;1;360;9;431;9;15.5;9;5.0;9;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230708;;;;;;;660;1;2600;1;;;;;;;;;;;70;1;31;1;1627;9;88;1;149;9;58;1;329;9;203;9;18.8;9;6.7;9;7.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230709;;;;;;;285;9;1511;9;;;;;;;;;;;30;9;51;1;1356;9;89;1;2342;9;71;1;0;9;378;9;19.7;9;4.6;9;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230710;;;;;;;898;9;2722;9;;;;;;;;;;;95;9;28;1;1704;9;97;1;334;9;60;1;469;9;364;9;14.6;9;5.4;9;6.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230711;;;;;;;749;9;2689;9;;;;;;;;;;;79;9;30;1;1713;9;90;1;356;9;58;1;396;9;236;9;16.6;9;6.2;9;7.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230712;;;;;;;532;9;2300;9;;;;;;;;;;;57;9;32;1;1546;9;85;1;57;9;58;1;356;9;178;9;13.4;9;6.2;9;6.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230713;;;;;;;223;9;1440;9;;;;;;;;;;;24;9;38;1;1359;9;87;1;2331;9;60;1;22;9;116;9;13.3;9;4.2;9;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230714;;;;;;;600;9;2512;9;;;;;;;;;;;64;9;26;1;1504;9;95;1;414;9;51;1;699;9;342;9;13.5;9;6.6;9;7.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230715;;;;;;;312;9;1706;9;;;;;;;;;;;33;9;33;1;1634;9;81;1;717;9;60;1;210;9;19;9;15.7;9;6.1;9;6.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230716;;;;;;;494;9;2241;9;;;;;;;;;;;53;9;34;1;1336;9;88;1;2344;9;59;1;323;9;63;9;12.8;9;5.9;9;6.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230717;;;;;;;595;9;2354;9;;;;;;;;;;;64;9;32;1;1340;9;92;1;107;9;57;1;416;9;260;9;12.4;9;5.1;9;5.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230718;;;;;;;661;9;2534;9;;;;;;;;;;;71;9;27;1;1716;9;91;1;456;9;51;1;581;9;263;9;12.6;9;5.3;9;6.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230719;;;;;;;466;9;2012;9;;;;;;;;;;;50;9;40;1;1306;9;79;1;455;9;58;1;1;9;0;9;13.9;9;5.3;9;5.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230720;;;;;;;489;9;2088;9;;;;;;;;;;;53;9;33;1;1351;9;97;1;512;9;59;1;510;9;385;9;13.3;9;4.5;9;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230721;;;;;;;420;9;2214;9;;;;;;;;;;;45;9;34;1;1413;9;87;1;511;9;55;1;466;9;103;9;12.2;9;5.8;9;6.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230722;;;;;;;611;9;2347;9;;;;;;;;;;;66;9;33;1;1509;9;88;1;530;9;53;1;470;9;204;9;11.5;9;5.0;9;5.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230723;;;;;;;132;9;1335;9;;;;;;;;;;;14;9;55;1;1535;9;91;1;1115;9;70;1;0;9;217;9;16.8;9;4.6;9;4.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230724;;;;;;;220;9;1449;9;;;;;;;;;;;24;9;49;1;1158;9;96;1;2252;9;78;1;0;9;845;9;17.0;9;3.9;9;4.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20230725;;;;;;;168;9;1361;9;;;;;;;;;;;18;9;49;1;1402;9;97;1;123;9;77;1;0;9;665;9;14.2;9;3.5;9;3.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
